"familr" "sexer" "RELAT" "AGER" "OPGNBL" "MOYRVL" "TAVEPL" "ENDETL" "GAGETL" "GAGECL" "GAGEML" "KVUNB" "QSMOY" "QCREDL" "DMVTPL" "BOPPNL" "FACANL" "LGAGTL" "VIENB" "VIEMTL" "UEMNB" "XLGNB" "XLGMTL" "YLVNB" "YLVMTL" "ROCNB" "NPTAG" "ITAVCL" "HAVEFL" "JNBJDL" "SEXEQ" "FAMIQ" "PCSPQ" "kvunbq" "vienbq" "uemnbq" "xlgnbq" "ylvnbq" "rocnbq" "nptagq" "endetq" "gagetq" "facanq" "lgagtq" "havefq" "ageq" "relatq" "qsmoyq" "opgnbq" "moyrvq" "tavepq" "dmvtpq" "boppnq" "jnbjdq" "itavcq" "CARVP"
"5069907" 1 0 1 37 0 0 0 0 10.5966597327836 10.5966597327836 0 1 -20000 0 2.83321334405622 0.693147180559945 0 0 0 0 0 0 0 0 0 0 0 0 0 1.38629436111989 "Shom" "Fcou" "Pcad" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G1" "F0" "L0" "H0" "A1" "R0" "Q0" "O0" "M0" "T0" "D2" "B0" "J1" "I0" "Coui"
"7534429" 1 1 2 63 0.693147180559945 3.3322045101752 10.3310402571083 0 0 0 0 1 9871 2.89037175789616 2.94443897916644 1.94591014905531 0 0 0 0 1 0 0 1 10.3310402571083 0 0 12.3446599852862 11.9053796299929 0 "Sfem" "Fcou" "Pcad" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G0" "F0" "L0" "H1" "A2" "R0" "Q2" "O1" "M2" "T1" "D2" "B0" "J0" "I2" "Coui"
"133439" 1 0 337 48 1.38629436111989 3.80666248977032 7.66199755890189 2.99573227355399 13.2780517315471 0 0 1 13834 3.80666248977032 2.56494935746154 4.31748811353631 11.141876276228 13.2780517315471 2 9.99820664859396 2 0 0 2 7.66199755890189 28 0 11.321982853444 10.8438658359393 2.07944154167984 "Shom" "Fcou" "Pemp" "K0" "V1" "U2" "X0" "Y2" "R1" "N0" "E1" "G1" "F1" "L1" "H1" "A1" "R2" "Q2" "O2" "M2" "T1" "D0" "B2" "J1" "I2" "Coui"
"543448" 1 1 255 65 0.693147180559945 4.27666611901606 10.685446571615 2.89037175789616 11.7555657144361 0 11.7555657144361 1 16348 3.89182029811063 2.56494935746154 3.29583686600433 11.7621343448056 0 3 11.9588733100573 2 2 10.685446571615 0 0 0 0 12.2249238399655 11.9588733100573 1.79175946922805 "Sfem" "Fcou" "Pint" "K0" "V1" "U2" "X2" "Y0" "R0" "N0" "E1" "G1" "F1" "L0" "H1" "A2" "R2" "Q2" "O1" "M2" "T2" "D0" "B1" "J1" "I2" "Coui"
"945822" 0 1 386 62 0.693147180559945 1.79175946922805 12.1285272336827 0 0 0 0 1 1070 1.79175946922805 2.56494935746154 2.63905732961526 0 0 0 0 2 2 12.1285272336827 0 0 1 0 12.5438048024041 11.3175551421266 0 "Sfem" "Fseu" "Pemp" "K0" "V0" "U2" "X2" "Y0" "R1" "N0" "E0" "G0" "F0" "L0" "H1" "A2" "R2" "Q0" "O1" "M0" "T2" "D0" "B1" "J0" "I2" "Coui"
"1252382" 0 0 189 35 0.693147180559945 2.99573227355399 9.85864707806297 3.43398720448515 12.4648072538352 0 9.70057545812617 1 5360 2.99573227355399 2.56494935746154 3.52636052461616 0 12.3997132330438 0 0 3 2 9.84384369960861 1 5.64190707093811 10 0 9.95356260516843 0 3.40119738166216 "Shom" "Fseu" "Pint" "K0" "V0" "U2" "X2" "Y1" "R1" "N0" "E1" "G1" "F0" "L1" "H0" "A0" "R2" "Q1" "O1" "M1" "T1" "D0" "B1" "J2" "I1" "Coui"
"1334438" 1 0 54 46 1.09861228866811 3.36729582998647 11.7155233930351 2.83321334405622 12.6329860848442 0 10.7011523936513 1 17289 3.36729582998647 2.56494935746154 4.07753744390572 10.703266939812 12.4764737586071 0 0 4 1 10.6556109381964 2 11.2767093386675 18 1 12.1281705617523 11.0396203919514 0.693147180559945 "Shom" "Fcou" "Pcad" "K0" "V0" "U2" "X1" "Y2" "R1" "N1" "E1" "G1" "F1" "L1" "H1" "A1" "R0" "Q2" "O2" "M2" "T2" "D0" "B2" "J1" "I2" "Coui"
"1560224" 0 0 90 34 1.79175946922805 4.27666611901606 9.99911586354954 0.693147180559945 11.6255753485149 0 11.6255753485149 2 14387 4.21950770517611 2.56494935746154 4.27666611901606 0 0 0 0 2 1 8.81269461292015 1 9.63488889456061 10 1 11.8780615126017 11.3332005340235 2.19722457733622 "Shom" "Fseu" "Pemp" "K1" "V0" "U2" "X1" "Y1" "R1" "N1" "E1" "G1" "F0" "L0" "H1" "A0" "R1" "Q2" "O2" "M2" "T1" "D0" "B2" "J1" "I2" "Coui"
"1740529" 1 0 282 44 0 3.17805383034795 0 0 11.5052460536264 10.6446388741445 0 1 -33676 3.17805383034795 2.77258872223978 3.61091791264422 8.1318247850072 10.9555147440865 0 0 1 1 0 0 0 11 0 5.30330490805908 5.30330490805908 4.36944785246702 "Shom" "Fcou" "Pemp" "K0" "V0" "U1" "X1" "Y0" "R1" "N0" "E0" "G1" "F1" "L1" "H1" "A1" "R2" "Q0" "O0" "M2" "T0" "D2" "B1" "J2" "I0" "Coui"
"2448202" 0 0 101 40 1.38629436111989 3.49650756146648 13.2340907813444 2.63905732961526 11.1530453900825 0 10.6856752998868 2 19163 3.49650756146648 2.56494935746154 3.46573590279973 0 10.1678498196663 2 10.1717574214664 4 2 13.080002699718 2 11.2878174854297 8 0 13.5137850024629 11.8340229709614 0.693147180559945 "Shom" "Fseu" "Pemp" "K1" "V1" "U2" "X2" "Y2" "R1" "N0" "E1" "G1" "F0" "L1" "H1" "A1" "R1" "Q2" "O2" "M2" "T2" "D0" "B1" "J1" "I2" "Coui"
"2454856" 1 0 113 54 0 4.40671924726425 0 0 0 0 0 1 167799 4.40671924726425 2.77258872223978 3.66356164612965 11.3385839825165 0 0 0 0 0 0 0 0 19 2 12.3033536093361 0 0 "Shom" "Fcou" "Pint" "K0" "V0" "U0" "X0" "Y0" "R1" "N1" "E0" "G0" "F1" "L0" "H0" "A2" "R1" "Q2" "O0" "M2" "T0" "D2" "B2" "J0" "I2" "Coui"
"2850436" 1 0 63 53 0.693147180559945 2.484906649788 6.21660610108486 3.98898404656427 11.0955142858437 9.74747681053197 10.7947681214061 1 -11896 2.484906649788 2.77258872223978 3.25809653802148 0 0 0 0 2 0 0 2 6.21660610108486 12 0 6.21660610108486 0 4.18965474202643 "Shom" "Fcou" "Pint" "K0" "V0" "U2" "X0" "Y2" "R1" "N0" "E1" "G1" "F0" "L0" "H0" "A2" "R0" "Q0" "O1" "M1" "T1" "D2" "B1" "J2" "I0" "Coui"
"4004405" 1 0 144 34 0 5.14749447681345 12.2938728779582 0 10.3571077025313 9.95422819423931 9.25339986143663 1 -12246 4.65396035015752 2.56494935746154 4.00733318523247 0 0 1 9.88170196046421 3 1 11.1324553627514 2 11.9183972397228 21 0 12.7997530194695 11.876004856582 4.48863636973214 "Shom" "Fcou" "Pcad" "K0" "V1" "U2" "X1" "Y2" "R1" "N0" "E0" "G1" "F0" "L0" "H1" "A0" "R1" "Q0" "O0" "M2" "T2" "D0" "B2" "J2" "I2" "Coui"
"5004401" 1 0 26 30 0 3.91202300542815 11.0462443101884 2.30258509299405 11.895340277813 9.64484634886876 11.784028359227 1 8682 3.91202300542815 2.56494935746154 3.43398720448515 0 0 0 0 1 0 0 1 11.0462443101884 7 0 11.0462443101884 0 1.09861228866811 "Shom" "Fcou" "Pcad" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E1" "G1" "F0" "L0" "H0" "A0" "R0" "Q2" "O0" "M2" "T2" "D0" "B1" "J1" "I1" "Coui"
"5013143" 0 1 23 30 1.79175946922805 1.79175946922805 0 0 7.14045304310116 7.14045304310116 0 1 505 0.693147180559945 2.83321334405622 1.94591014905531 0 0 0 0 0 0 0 0 0 0 0 7.85049318087114 0 1.6094379124341 "Sfem" "Fseu" "Pint" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G1" "F0" "L0" "H0" "A0" "R0" "Q0" "O2" "M0" "T0" "D2" "B0" "J1" "I0" "Coui"
"5065825" 1 0 3 34 0.693147180559945 3.46573590279973 0 2.07944154167984 10.7380691890837 10.7380691890837 0 1 44206 3.46573590279973 2.56494935746154 1.6094379124341 0 0 0 0 0 0 0 0 0 0 0 10.2169835598809 0 0 "Shom" "Fcou" "Pint" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E1" "G1" "F0" "L0" "H0" "A0" "R0" "Q2" "O1" "M2" "T0" "D0" "B0" "J0" "I1" "Coui"
"5065986" 1 0 3 39 0.693147180559945 1.38629436111989 0 0 0 0 0 1 4814 1.38629436111989 2.56494935746154 1.94591014905531 0 0 0 0 0 0 0 0 0 0 0 8.8698199525084 0 0 "Shom" "Fcou" "Pcad" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "A1" "R0" "Q1" "O1" "M0" "T0" "D0" "B0" "J0" "I0" "Coui"
"5070242" 1 0 2 39 0 2.07944154167984 4.61512051684126 0 0 0 0 1 5253 2.07944154167984 2.56494935746154 2.07944154167984 11.5366517571649 0 0 0 1 0 0 1 4.61512051684126 0 0 9.92235837328638 0 0 "Shom" "Fcou" "Pcad" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G0" "F1" "L0" "H0" "A1" "R0" "Q1" "O0" "M1" "T0" "D0" "B0" "J0" "I1" "Coui"
"5070512" 1 0 1 38 0 2.77258872223978 0 0 0 0 0 1 -171 2.77258872223978 2.56494935746154 3.3322045101752 11.6063156208896 0 0 0 0 0 0 0 0 15 0 9.23863624113103 0 3.04452243772342 "Shom" "Fcou" "Pcad" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E0" "G0" "F1" "L0" "H0" "A1" "R0" "Q0" "O0" "M1" "T0" "D0" "B1" "J2" "I1" "Coui"
"5072065" 1 0 1 35 0 0 4.61512051684126 0 6.07764224334903 6.07764224334903 0 2 -96 0 2.56494935746154 2.07944154167984 9.22847494217167 0 0 0 1 0 0 1 4.61512051684126 0 0 4.61512051684126 0 1.79175946922805 "Shom" "Fcou" "Pcad" "K1" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G1" "F1" "L0" "H0" "A0" "R0" "Q0" "O0" "M0" "T0" "D0" "B0" "J1" "I0" "Coui"
"7558443" 1 0 27 43 0.693147180559945 4.34380542185368 10.1754974555936 2.39789527279837 12.8914421582943 0 0 1 84186 0 2.77258872223978 1.6094379124341 0 12.8914421582943 0 0 1 0 0 1 10.1754974555936 1 0 11.0511756788508 0 1.38629436111989 "Shom" "Fcou" "Pint" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E1" "G1" "F0" "L1" "H0" "A1" "R0" "Q2" "O1" "M2" "T1" "D2" "B0" "J1" "I1" "Coui"
"131747" 1 0 66 58 1.09861228866811 3.73766961828337 12.7741383464682 0 0 0 0 1 20537 3.73766961828337 2.70805020110221 3.40119738166216 11.9309842718407 0 0 0 3 1 11.5317668461036 2 12.4334830807341 13 0 13.174652176113 12.0124757604615 0.693147180559945 "Shom" "Fcou" "Pcad" "K0" "V0" "U2" "X1" "Y2" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "A2" "R0" "Q2" "O2" "M2" "T2" "D1" "B1" "J1" "I2" "Coui"
"158515" 0 0 153 33 0 3.93182563272433 10.2484946916072 0 0 0 0 1 17608 3.93182563272433 2.70805020110221 3.61091791264422 0 0 0 0 3 1 10.2188455878381 2 6.71659477352098 16 0 10.5965097252829 0 2.39789527279837 "Shom" "Fseu" "Pcad" "K0" "V0" "U2" "X1" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A0" "R1" "Q2" "O0" "M2" "T1" "D1" "B1" "J1" "I1" "Coui"
"458435" 0 0 110 35 0.693147180559945 1.38629436111989 0 0 0 0 0 1 5000 1.38629436111989 3.29583686600433 0.693147180559945 0 0 0 0 0 0 0 0 0 0 0 9.21044036697652 0 0 "Shom" "Fseu" "Pint" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "A0" "R1" "Q1" "O1" "M0" "T0" "D2" "B0" "J0" "I1" "Coui"
"552080" 0 1 145 43 0 3.43398720448515 9.59689445519259 3.36729582998647 12.0234590460959 0 0 1 9517 2.39789527279837 2.70805020110221 2.83321334405622 0 12.0234590460959 1 10.6061146562952 2 1 7.60140233458373 1 9.45085221745148 6 0 11.0430178311168 10.6061146562952 1.94591014905531 "Sfem" "Fseu" "Pint" "K0" "V1" "U2" "X1" "Y1" "R1" "N0" "E1" "G1" "F0" "L1" "H1" "A1" "R1" "Q2" "O0" "M2" "T1" "D1" "B1" "J1" "I1" "Coui"
"552539" 1 0 139 34 0 3.8286413964891 6.74405918631135 2.39789527279837 13.4922068346244 9.0062638833792 0 2 -13406 3.8286413964891 2.70805020110221 3.80666248977032 12.1652558593297 13.4808780280445 0 0 1 0 0 0 0 14 0 6.74405918631135 0 4.23410650459726 "Shom" "Fcou" "Pouv" "K1" "V0" "U1" "X0" "Y0" "R1" "N0" "E1" "G1" "F1" "L1" "H0" "A0" "R1" "Q0" "O0" "M2" "T1" "D1" "B2" "J2" "I0" "Coui"
"646307" 0 0 92 31 0.693147180559945 4.11087386417331 12.6703348241468 3.09104245335832 12.3891106123079 0 12.3891106123079 1 5452 2.30258509299405 2.70805020110221 2.94443897916644 0 0 0 0 3 2 12.4266368732474 1 11.1391479595603 1 0 12.8032897041614 0 0.693147180559945 "Shom" "Fseu" "Pint" "K0" "V0" "U2" "X2" "Y1" "R1" "N0" "E1" "G1" "F0" "L0" "H0" "A0" "R1" "Q1" "O1" "M2" "T2" "D1" "B1" "J1" "I2" "Coui"
"807218" 1 0 119 28 2.89037175789616 6.21660610108486 0 1.09861228866811 13.1371357269822 11.4761784896031 12.2562998718691 1 3636 2.56494935746154 2.77258872223978 3.61091791264422 0 12.2098106504766 0 0 0 0 0 0 0 0 1 7.77695440332244 0 2.83321334405622 "Shom" "Fcou" "Pint" "K0" "V0" "U0" "X0" "Y0" "R0" "N1" "E1" "G1" "F0" "L1" "H0" "A0" "R1" "Q1" "O2" "M2" "T0" "D2" "B1" "J2" "I0" "Coui"
"843602" 1 0 227 47 0.693147180559945 3.68887945411394 0 3.43398720448515 14.0441231269011 0 11.1562648066437 1 -41576 3.68887945411394 2.70805020110221 3.91202300542815 0 13.9868175094325 0 0 1 1 0 0 0 18 1 9.07920610395138 0 4.46590811865458 "Shom" "Fcou" "Pcad" "K0" "V0" "U1" "X1" "Y0" "R1" "N1" "E1" "G1" "F0" "L1" "H0" "A1" "R2" "Q0" "O1" "M2" "T0" "D1" "B2" "J2" "I1" "Coui"
"860436" 0 0 49 42 0 3.13549421592915 5.55295958492162 3.09104245335832 11.1569360003226 10.2644084695597 10.6299727927066 1 866 3.13549421592915 2.70805020110221 3.73766961828337 0 0 0 0 1 0 0 1 5.55295958492162 20 0 5.55295958492162 0 3.58351893845611 "Shom" "Fseu" "Pcad" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E1" "G1" "F0" "L0" "H0" "A1" "R0" "Q0" "O0" "M2" "T1" "D1" "B2" "J2" "I0" "Coui"
"1041135" 1 0 264 60 0.693147180559945 2.94443897916644 0 0 0 0 0 1 41565 2.94443897916644 2.83321334405622 2.30258509299405 0 0 0 0 0 0 0 0 0 0 0 10.7724770112923 8.42310226801664 0 "Shom" "Fcou" "Pint" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G0" "F0" "L0" "H1" "A2" "R2" "Q2" "O1" "M1" "T0" "D2" "B0" "J0" "I1" "Coui"
"1053848" 1 0 182 34 1.6094379124341 3.73766961828337 0 2.56494935746154 13.5168713413262 0 0 1 10590 3.73766961828337 2.77258872223978 4.11087386417331 9.65007807402644 13.5168713413262 0 0 0 0 0 0 0 25 0 10.3737411505371 0 2.56494935746154 "Shom" "Fcou" "Pouv" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E1" "G1" "F1" "L1" "H0" "A0" "R2" "Q2" "O2" "M2" "T0" "D2" "B2" "J1" "I1" "Coui"
"1146168" 1 1 176 43 1.6094379124341 4.71849887129509 13.3178528553287 1.09861228866811 13.1350426545614 0 0 2 35315 4.71849887129509 2.70805020110221 4.23410650459726 12.2559146372874 13.1350426545614 1 9.37220408686774 4 2 13.1528246848868 1 10.442375714067 30 0 13.7349304559202 12.1614988300566 3.93182563272433 "Sfem" "Fcou" "Pint" "K1" "V1" "U2" "X2" "Y1" "R1" "N0" "E1" "G1" "F1" "L1" "H1" "A1" "R2" "Q2" "O2" "M2" "T2" "D1" "B2" "J2" "I2" "Coui"
"1222222" 1 0 318 49 0.693147180559945 3.63758615972639 11.2310929173073 0 0 0 0 1 35867 3.63758615972639 2.70805020110221 3.40119738166216 11.3518525483153 0 0 0 1 1 11.2310929173073 0 0 12 0 11.7363489770918 7.82444593087762 0 "Shom" "Fcou" "Pcad" "K0" "V0" "U1" "X1" "Y0" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "A1" "R2" "Q2" "O1" "M2" "T2" "D1" "B1" "J0" "I2" "Coui"
